Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Income,Num_of_Households,Metro Distance
Rhode Island Row,2300 Washington Pl NE, Washington,DC,20018,,New,44,3.0,4328.0,Yes,38.920417,-76.99544,525960,9290,59.269024652577066
425 Mass,425 Massachusetts Ave NW, Washington,DC,20001,,New,22,2.0,3840.0,Yes,38.90077700000001,-77.016936,1911826,25010,504.3186263546222
The Shay,1924 8th St NW, Washington,DC,20001,,New,70,2.0,4615.0,Yes,38.916539,-77.023213,1911826,25010,412.06738423396735
450K,450 K St NW, Washington,DC,20001,,New,59,2.0,5520.0,Yes,38.902274,-77.017966,1911826,25010,524.3207455807632
Meridian at Gallery Place,450 Massachusetts Ave NW, Washington,DC,20001,,7 hrs,56,2.0,4405.0,Yes,38.900492,-77.018321,1911826,25010,388.0420437130496
Jefferson Marketplace,1510-1514 7th St NW, Washington,DC,20001,,2 wks,60,3.0,4064.0,Yes,38.910277,-77.022256,1911826,25010,293.82596934710375
Ashton Judiciary Square,750 3rd St NW, Washington,DC,20001,,2 wks,17,2.0,5324.0,Yes,38.899059,-77.015506,1911826,25010,345.1283482441892
7th Flats,1825 7th St NW, Washington,DC,20001,,New,6,2.0,4795.0,Contact Management,38.91493,-77.021703,1911826,25010,227.61244123741557
77 H,77 H St NW, Washington,DC,20001,,1 hr,42,2.0,3696.0,Contact Management,38.900353,-77.011356,1911826,25010,494.7166080021177
Yale West Apartments,443 New York Ave NW, Washington,DC,20001,,1 hr,40,2.0,3417.0,Contact Management,38.904672,-77.017999,1911826,25010,382.6604897368769
Newseum Residences,565 Pennsylvania Ave NW, Washington,DC,20001,,New,49,2.0,6351.0,Contact Management,38.893307,-77.01956,1911826,25010,212.9036247583234
Mass Court Apartments,300 Massachusetts Ave NW, Washington,DC,20001,,38 min,18,2.0,3816.0,Contact Management,38.899642,-77.01566600000002,1911826,25010,404.5649977736566
Atlantic Plumbing,2112 8th St NW, Washington,DC,20001,,6 hrs,35,2.0,5330.0,Contact Management,38.918269,-77.023327,1911826,25010,524.2381394884045
Meridian at Mt Vernon Triangle,425 L St NW, Washington,DC,20001,,New,52,2.0,5010.0,Contact Management,38.903935,-77.017262,1911826,25010,470.30030303511137
Lyric 440K Apartments,440 K St NW, Washington,DC,20001,,1 wk,72,2.0,3454.0,Contact Management,38.902281,-77.01745799999998,1911826,25010,555.792422250517
1301 Thomas Circle,1301 M St NW, Washington,DC,20005,,1 hr,11,3.0,7876.0,Yes,38.905845,-77.029898,831039,7890,599.2806935392367
The Woodward,733 15th St NW, Washington,DC,20005,,5 hrs,38,3.0,5700.0,Yes,38.899833,-77.033373,831039,7890,166.66014915790086
Latrobe Apartments,1325 15th St NW, Washington,DC,20005,,7 hrs,23,2.0,9029.0,Yes,38.908565,-77.03426,831039,7890,764.15570849288
Zen Apollo,1234 Massachusetts Ave NW, Washington,DC,20005,,5 days,22,0.0,1800.0,Yes,38.904197,-77.029313,831039,7890,493.5606217545583
1500 Mass,1500 Massachusetts Ave NW, Washington,DC,20005,,New,17,1.0,2370.0,Contact Management,38.906502,-77.03550899999998,831039,7890,520.7253214594319
