Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Income,Num_of_Households,Metro Distance
4201 Cathedral Ave NW Unit 206W,4201 Cathedral Ave NW Unit 206W,Washington,DC,20016,,1 wk,Not specified,1.0,2200.0,Contact Management,38.930823,-77.082977,3388724,14220,1910.8985537133444
4101 Albemarle St NW Unit 407,4101 Albemarle St NW Unit 407,Washington,DC,20016,,1 wk,Not specified,,1850.0,Contact Management,38.948175,-77.080823,3388724,14220,112.15348889292422
3217 Wisconsin Ave NW Unit 3A,3217 Wisconsin Ave NW Unit 3A,Washington,DC,20016,,1 wk,Not specified,,2290.0,Contact Management,38.933174,-77.072161,3388724,14220,1217.2441372460107
3287 Sutton Pl NW,3287 Sutton Pl NW,Washington,DC,20016,,1 wk,Not specified,,3500.0,Contact Management,38.932541,-77.08379599999998,3388724,14220,1735.6981202361007
4725 Western Ave NW,4725 Western Ave NW,Washington,DC,20016,,1 day,Not specified,,4500.0,Contact Management,38.951624,-77.09705500000003,3388724,14220,1395.4503670708716
3863 Rodman St NW Unit B50,3863 Rodman St NW Unit B50,Washington,DC,20016,,1 day,Not specified,,2000.0,Contact Management,38.939544,-77.076814,3388724,14220,950.3077472232485
4119 Brandywine St NW,4119 Brandywine St NW,Washington,DC,20016,,1 day,Not specified,,5000.0,Contact Management,38.949894,-77.081425,3388724,14220,279.82432341042113
5112 Macarthur Blvd NW Unit 209,5112 Macarthur Blvd NW Unit 209,Washington,DC,20016,,1 day,Not specified,,1800.0,Contact Management,38.92522,-77.10218,3388724,14220,3180.8187658208926
4810 Rockwood Pky NW,4810 Rockwood Pky NW,Washington,DC,20016,,1 day,Not specified,,10500.0,Contact Management,38.933296999999996,-77.093438,3388724,14220,2008.1817875584502
4215 River Rd NW,4215 River Rd NW,Washington,DC,20016,,1 day,Not specified,,4750.0,Contact Management,38.950696,-77.082588,3388724,14220,411.36716268522764
4849 Rodman St NW,4849 Rodman St NW,Washington,DC,20016,,1 day,Not specified,,5000.0,Contact Management,38.939552,-77.096467,3388724,14220,1722.45174679672
3901 Cathedral Ave NW Unit 84,3901 Cathedral Ave NW Unit 84,Washington,DC,20016,,1 day,Not specified,,1650.0,Contact Management,38.929402,-77.077473,3388724,14220,1766.0885617842168
4824 Alton Pl NW,4824 Alton Pl NW,Washington,DC,20016,,1 day,Not specified,,4300.0,Contact Management,38.946901000000004,-77.09561,3388724,14220,1386.90263607813
2860 Arizona Ave NW,2860 Arizona Ave NW,Washington,DC,20016,,New,Not specified,,5200.0,Contact Management,38.929427000000004,-77.102756,3388724,14220,2860.63748437185
4935 Loughboro Rd NW,4935 Loughboro Rd NW,Washington,DC,20016,,1 day,Not specified,,12500.0,Contact Management,38.93349,-77.098824,3388724,14220,2301.036467213006
3840 39th St NW Unit A103,3840 39th St NW Unit A103,Washington,DC,20016,,1 day,Not specified,,2900.0,Contact Management,38.939762,-77.078626,3388724,14220,898.7535628412279
4408 Klingle St NW,4408 Klingle St NW,Washington,DC,20016,,1 day,Not specified,,7200.0,Contact Management,38.931113,-77.086833,3388724,14220,1958.5548475738124
4412 Springdale St NW,4412 Springdale St NW,Washington,DC,20016,,1 day,Not specified,,3950.0,Contact Management,38.940341,-77.086187,3388724,14220,1006.1935794650661
3813 Yuma St NW,3813 Yuma St NW,Washington,DC,20016,,1 day,Not specified,,5400.0,Contact Management,38.94648,-77.076202,3388724,14220,330.0319817666627
4646 Hawthorne Ln NW,4646 Hawthorne Ln NW,Washington,DC,20016,,1 day,Not specified,,13000.0,Contact Management,38.928607,-77.092863,3388724,14220,2423.0889988279423
4201 Cathedral Ave NW Unit 1121E,4201 Cathedral Ave NW Unit 1121E,Washington,DC,20016,,1 day,Not specified,,2000.0,Contact Management,38.930823,-77.082977,3388724,14220,1910.8985537133444
3929 Garrison St NW,3929 Garrison St NW,Washington,DC,20016,,1 day,Not specified,,4300.0,Contact Management,38.956165999999996,-77.078471,3388724,14220,824.2863639519511
5022 Eskridge Ter NW,5022 Eskridge Ter NW,Washington,DC,20016,,1 day,Not specified,,7400.0,Contact Management,38.925517,-77.098754,3388724,14220,2980.59341805547
4105 Wisconsin Ave NW,4105 Wisconsin Ave NW,Washington,DC,20016,,1 day,Not specified,,1445.0,Contact Management,38.942584000000004,-77.076195,3388724,14220,651.8453561677007
3244 38th St NW,3244 38th St NW,Washington,DC,20016,,1 day,Not specified,,7000.0,Contact Management,38.933295,-77.074314,3388724,14220,1400.315190440854
4101 Albemarle St NW Unit 419,4101 Albemarle St NW Unit 419,Washington,DC,20016,,1 day,Not specified,,1850.0,Contact Management,38.948175,-77.080823,3388724,14220,112.15348889292422
5308 MacArthur Blvd NW,5308 MacArthur Blvd NW,Washington,DC,20016,,1 day,Not specified,,5250.0,Contact Management,38.927762,-77.10494200000002,3388724,14220,3125.220264143234
The Abby Apartments,3621 Newark St NW, Washington,DC,20016,,2 days,Not specified,1.0,1720.0,Contact Management,38.934807,-77.072194,3388724,14220,1208.20797854405
The Fleetwood,3707 Woodley Rd NW, Washington,DC,20016,,2 wks,Not specified,1.0,1325.0,Contact Management,38.932118,-77.073299,3388724,14220,1335.0634769799701
Takoma Central,235 Carroll St NW, Washington,DC,20012,,New,51,2.0,3276.0,Yes,38.975124,-77.015375,657911,7570,217.35519367352222
Willow and Maple,6918 Willow St NW, Washington,DC,20012,,58 min,Not specified,3.0,2970.0,Contact Management,38.972842,-77.01526899999998,657911,7570,372.3380080728441
Gables Takoma Park,7035 Blair Rd NW, Washington,DC,20012,,7 hrs,Not specified,2.0,2225.0,Contact Management,38.975719,-77.01879699999998,657911,7570,85.80364200399427
Takoma Flats,7730 Eastern Ave NW, Washington,DC,20012,,4 days,Not specified,2.0,2025.0,Contact Management,38.98356500000001,-77.025683,657911,7570,1121.682837433338
Takoma Place,6650-6676 Georgia Ave NW, Washington,DC,20012,,New,Not specified,2.0,1425.0,Contact Management,38.972091,-77.027363,657911,7570,908.2752288336104
Luzon Van Buren Apartments,6600 Luzon Ave NW, Washington,DC,20012,,2 wks,Not specified,2.0,1935.0,Contact Management,38.970493,-77.03303199999998,657911,7570,1428.321098801267
Genesis,6925 Georgia Ave NW, Washington,DC,20012,,7 hrs,Not specified,3.0,1980.0,Contact Management,38.974205,-77.026453,657911,7570,759.5432632191535
