STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,40873,0,630,210,300,21820
21,KY,40902,0,230,80,110,5917
21,KY,40903,0,330,140,120,9118
21,KY,40906,0,3740,1390,1590,142393
21,KY,40914,0,200,70,90,6389
21,KY,40915,0,420,140,200,13569
21,KY,40923,0,290,100,120,8502
21,KY,40927,0,130,30,70,4485
21,KY,40935,0,650,220,270,19050
21,KY,40939,0,220,80,110,7102
21,KY,40940,0,180,70,90,5247
21,KY,40943,0,360,110,180,11208
21,KY,40949,0,310,110,150,11518
21,KY,40953,0,190,60,80,5709
21,KY,40958,0,160,60,60,4501
21,KY,40962,0,5170,1790,2330,186015
21,KY,40965,0,4550,1870,1670,153631
21,KY,40972,0,420,160,210,11929
21,KY,40977,0,2790,1030,1280,102949
21,KY,40988,0,160,60,80,4528
21,KY,41001,0,8140,3460,3760,504365
21,KY,41002,0,1000,410,420,40740
21,KY,41003,0,970,360,470,40682
21,KY,41004,0,1670,650,770,71821
21,KY,41005,0,10690,4620,4660,627048
21,KY,41006,0,1930,800,890,101072
21,KY,41007,0,1860,770,950,112342
21,KY,41008,0,3180,1350,1180,143796
21,KY,41010,0,1220,510,530,51870
21,KY,41011,0,11670,6570,2950,766763
21,KY,41014,0,3120,1740,600,102325
21,KY,41015,0,9920,4750,3450,499292
21,KY,41016,0,2770,1520,720,126821
21,KY,41017,0,19970,9480,8180,2887676
21,KY,41018,0,13370,6410,4540,646142
21,KY,41030,0,2690,1100,1110,131797
21,KY,41031,0,6700,2690,2960,313940
21,KY,41033,0,890,360,390,40235
21,KY,41034,0,410,150,200,17755
21,KY,41035,0,4580,1790,1920,207776
21,KY,41039,0,1140,430,540,43111
21,KY,41040,0,2960,1260,1240,126917
21,KY,41041,0,2920,1100,1360,124353
21,KY,41042,0,24700,11930,8720,1289635
21,KY,41043,0,770,300,400,39057
21,KY,41044,0,430,170,210,18143
21,KY,41045,0,530,210,200,24115
21,KY,41046,0,690,270,300,28185
21,KY,41048,0,6730,2470,3420,531981
21,KY,41049,0,850,300,450,34039
21,KY,41051,0,13010,5300,5910,761213
21,KY,41052,0,130,50,60,5903
21,KY,41055,0,700,250,380,35140
21,KY,41056,0,5880,2380,2400,295019
21,KY,41059,0,1300,600,540,77659
21,KY,41063,0,1410,610,620,74018
21,KY,41064,0,720,290,340,29082
21,KY,41071,0,9420,5340,2220,450692
21,KY,41073,0,2980,1670,880,171763
21,KY,41074,0,2330,1110,660,96274
21,KY,41075,0,8020,3790,3340,674815
21,KY,41076,0,8030,4090,3070,502314
21,KY,41080,0,850,350,400,47340
21,KY,41083,0,490,180,230,22933
21,KY,41086,0,800,300,380,37683
21,KY,41091,0,8970,3330,4860,879971
21,KY,41092,0,1590,620,780,105133
21,KY,41093,0,950,330,520,34558
21,KY,41094,0,6060,2510,2650,380111
21,KY,41095,0,1620,700,600,67517
21,KY,41097,0,2810,1140,1180,123212
21,KY,41098,0,670,270,280,26846
21,KY,41101,0,7390,3210,2930,396539
21,KY,41102,0,8000,3070,3770,419246
21,KY,41121,0,640,210,350,29528
21,KY,41124,0,310,100,160,10616
21,KY,41129,0,3800,1440,1930,224998
21,KY,41132,0,140,40,80,5017
21,KY,41139,0,3520,1330,1580,165626
21,KY,41141,0,840,280,420,33291
21,KY,41143,0,5380,2010,2600,247383
21,KY,41144,0,3920,1350,2030,178726
21,KY,41146,0,220,90,110,6355
21,KY,41149,0,160,50,90,5479
