Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Metro Distance,Income,Num_of_Households
77 H,77 H St NW, Washington,DC,20001,,1 hr,42,2.0,3696.0,Contact Management,38.900353,-77.011356,494.7166080021177,1911826,25010
Yale West Apartments,443 New York Ave NW, Washington,DC,20001,,1 hr,40,2.0,3417.0,Contact Management,38.904672,-77.017999,382.6604897368769,1911826,25010
Newseum Residences,565 Pennsylvania Ave NW, Washington,DC,20001,,New,49,2.0,6351.0,Contact Management,38.893307,-77.01956,212.9036247583234,1911826,25010
Mass Court Apartments,300 Massachusetts Ave NW, Washington,DC,20001,,38 min,18,2.0,3816.0,Contact Management,38.899642,-77.01566600000002,404.5649977741706,1911826,25010
Atlantic Plumbing,2112 8th St NW, Washington,DC,20001,,6 hrs,35,2.0,5330.0,Contact Management,38.918269,-77.023327,524.2381394884045,1911826,25010
Meridian at Mt Vernon Triangle,425 L St NW, Washington,DC,20001,,New,52,2.0,5010.0,Contact Management,38.903935,-77.017262,470.30030303511137,1911826,25010
Lyric 440K Apartments,440 K St NW, Washington,DC,20001,,1 wk,72,2.0,3454.0,Contact Management,38.902281,-77.01745799999998,555.7924222486798,1911826,25010
1301 Thomas Circle,1301 M St NW, Washington,DC,20005,,1 hr,11,3.0,7876.0,Yes,38.905845,-77.029898,599.2806935392367,831039,7890
The Woodward,733 15th St NW, Washington,DC,20005,,5 hrs,38,3.0,5700.0,Yes,38.899833,-77.033373,166.66014915790086,831039,7890
Latrobe Apartments,1325 15th St NW, Washington,DC,20005,,7 hrs,23,2.0,9029.0,Yes,38.908565,-77.03426,764.15570849288,831039,7890
Zen Apollo,1234 Massachusetts Ave NW, Washington,DC,20005,,5 days,22,0.0,1800.0,Yes,38.904196999999996,-77.029313,493.56062175507117,831039,7890
1500 Mass,1500 Massachusetts Ave NW, Washington,DC,20005,,New,17,1.0,2370.0,Contact Management,38.906502,-77.03550899999998,520.7253214576923,831039,7890
Post Massachusetts Avenue,1499 Massachusetts Ave NW, Washington,DC,20005,,6 hrs,51,3.0,6550.0,Contact Management,38.90687,-77.034162,619.1513907986517,831039,7890
The Hudson,1425 P St NW, Washington,DC,20005,,7 hrs,13,2.0,3800.0,Contact Management,38.909875,-77.03299799999998,815.0276058306786,831039,7890
Mai Place,1400-1404 14th St NW, Washington,DC,20005,,1 wk,15,1.0,3600.0,Contact Management,38.909107,-77.032321,871.4663793294679,831039,7890
Ore 82,82 I St SE, Washington,DC,20003,,43 min,48,2.0,3735.0,Yes,38.879507000000004,-77.00562,327.8530330191522,1640358,14930
Dock 79,79 Potomac Ave SE, Washington,DC,20003,,New,31,2.0,4140.0,Yes,38.871544,-77.006608,576.135328256706,1640358,14930
Capitol Yards,100 Eye St SE, Washington,DC,20003,,New,51,2.0,5716.0,Contact Management,38.881904,-76.990935,453.7829640404187,1640358,14930
Parc Riverside,1011 1st St SE, Washington,DC,20003,,New,21,2.0,3669.0,Contact Management,38.878175,-77.006134,198.4196799815744,1640358,14930
The Bixby,601 L St SE, Washington,DC,20003,,New,2,3.0,3772.0,Contact Management,38.877264000000004,-76.997286,679.3766349210863,1640358,14930
Arris,1331 4th St SE, Washington,DC,20003,,7 hrs,31,2.0,5510.0,Contact Management,38.87429,-77.000773,452.42960348084745,1640358,14930
1600 Pennsylvania Ave SE,1600 Pennsylvania Ave SE, Washington,DC,20003,,2 wks,76,2.0,2650.0,Contact Management,38.879138,-76.981879,382.7013464809525,1640358,14930
Aventine Fort Totten,5210 3rd St NE, Washington,DC,20011,,44 min,36,2.0,3041.0,No,38.953075,-77.001522,154.95216484544878,1944486,36430
The Swift at Petworth Metro,3828 Georgia Ave NW, Washington,DC,20011,,New,62,2.0,2975.0,Yes,38.937899,-77.02468499999998,202.63129015898588,1944486,36430
The Rittenhouse,6101 16th St NW, Washington,DC,20011,,5 hrs,63,3.0,2471.0,Contact Management,38.965061,-77.03537800000002,1912.0698924415894,1944486,36430
Fort Totten Square,5661 3rd St NE, Washington,DC,20011,,New,45,2.0,2510.0,Contact Management,38.958581,-77.016951,1484.9461408219213,1944486,36430
Park Place at Petworth Metro,850 Quincy St NW, Washington,DC,20011,,6 hrs,26,3.0,4708.0,Contact Management,38.937427,-77.024854,150.5082190477136,1944486,36430
Fahrenheit,3930-3936 Georgia Ave NW, Washington,DC,20011,,6 hrs,70,3.0,2715.0,Contact Management,38.939567,-77.025118,389.53350995010635,1944486,36430
Quebec House Apartments,2800 Quebec St NW, Washington,DC,20008,,New,64,2.0,2425.0,No,38.936182,-77.055684,274.56774608709173,2977550,16830
The Brandywine Apartments,4545 Connecticut Ave NW, Washington,DC,20008,,6 hrs,40,3.0,3640.0,No,38.949228999999995,-77.065889,656.7220977368769,2977550,16830
AVA Van Ness,2950 Van Ness St NW, Washington,DC,20008,,New,14,2.0,2640.0,Yes,38.942899,-77.06118599999998,216.46870643169044,2977550,16830
Connecticut Plaza Apartments,2901 Connecticut Ave NW, Washington,DC,20008,,2 wks,50,2.0,2700.0,No,38.928375,-77.053791,388.1968922582229,2977550,16830
Park Van Ness,4455 Connecticut Ave NW, Washington,DC,20008,,2 wks,90,3.0,5985.0,Yes,38.946951,-77.064589,381.9427360574678,2977550,16830
The Woodley,2700 Woodley Rd NW, Washington,DC,20008,,New,89,3.0,13447.0,Contact Management,38.925252,-77.056152,304.4199191879809,2977550,16830
3003 Van Ness,3003 Van Ness St NW, Washington,DC,20008,,1 hr,15,2.0,3100.0,Contact Management,38.943723999999996,-77.06124799999998,196.05338682289843,2977550,16830
Connecticut Heights,4850 Connecticut Ave, Washington,DC,20008,,New,26,2.0,2335.0,Contact Management,38.952871,-77.068916,1083.0236192874108,2977550,16830
Kennedy-Warren,3133 Connecticut Ave NW, Washington,DC,20008,,6 hrs,29,3.0,6570.0,Contact Management,38.931921,-77.055482,389.9059490523032,2977550,16830
Ellicott House,4849 Connecticut Ave NW, Washington,DC,20008,,7 hrs,64,2.0,1880.0,Contact Management,38.952898,-77.06819300000002,1108.273951973511,2977550,16830
The Mission,1350 R St NW, Washington,DC,20009,,New,66,2.0,3600.0,Yes,38.912440000000004,-77.031602,505.79604300780807,2930851,31890
The Hepburn,1901 Connecticut Ave NW, Washington,DC,20009,,7 hrs,21,3.0,14500.0,Yes,38.915918,-77.04641600000002,753.6416285869788,2930851,31890
Gelmarc Towers Apartments,1930 Columbia Rd NW, Washington,DC,20009,,1 wk,40,1.0,2100.0,No,38.918126,-77.044996,966.6378384436064,2930851,31890
Harvard Village Apartment,1829 Summit Pl NW, Washington,DC,20009,,2 wks,62,1.0,2249.0,Yes,38.926772,-77.04231300000002,851.6846709360381,2930851,31890
The Louis,1920-1934 14Th St NW, Washington,DC,20009,,2 wks,104,2.0,7198.0,Yes,38.916607,-77.032225,284.68233258006194,2930851,31890
The Alden,2620 13th St NW, Washington,DC,20009,,2 wks,37,4.0,2595.0,Yes,38.924259,-77.03006500000002,543.825025810626,2930851,31890
District,1401 S St NW, Washington,DC,20009,,1 hr,13,2.0,5303.0,Contact Management,38.913944,-77.03195,384.69791094732346,2930851,31890
Capitol View on 14th,2420 14th St NW, Washington,DC,20009,,1 hr,16,2.0,11450.0,Contact Management,38.92112,-77.032136,584.5629809705135,2930851,31890
Elysium Fourteen,1921 14th St NW, Washington,DC,20009,,43 min,7,2.0,6620.0,Contact Management,38.91637,-77.03169399999999,238.8068023501408,2930851,31890
Chalfonte,1601 Argonne Pl NW, Washington,DC,20009,,6 hrs,31,2.0,3015.0,Contact Management,38.926671999999996,-77.038604,551.090585551161,2930851,31890
Argonne Apartments,1629 Columbia Rd NW, Washington,DC,20009,,1 wk,52,3.0,4155.0,Contact Management,38.926086,-77.03783299999998,523.5655050757765,2930851,31890
Park Ellison Apartments,1700 Harvard St NW, Washington,DC,20009,,2 wks,49,2.0,2750.0,Contact Management,38.92685,-77.040432,692.6443387311513,2930851,31890
The Vintage,3146 16th St NW, Washington,DC,20010,,6 hrs,27,2.0,3150.0,Yes,38.929986,-77.037028,395.84100737897796,1146714,19130
The Woodner,3636 16th St NW, Washington,DC,20010,,1 wk,33,2.0,2199.0,Yes,38.936428,-77.037263,945.7694892055837,1146714,19130
Allegro,3460 14th St NW, Washington,DC,20010,,New,24,2.0,5609.0,Contact Management,38.932907,-77.033014,471.36408195770747,1146714,19130
Highland Park at Columbia Heights Metro,1400 Irving St NW, Washington,DC,20010,,6 hrs,98,2.0,3090.0,Contact Management,38.928523,-77.033621,75.03260878295632,1146714,19130
Park Triangle,1375 Kenyon St NW, Washington,DC,20010,,7 hrs,53,2.0,3705.0,Contact Management,38.92985,-77.031851,153.44729843915374,1146714,19130
The Grove at Parkside,600 Kenilworth Ter NE, Washington,DC,20019,,1 wk,26,1.0,1041.0,No,38.898528999999996,-76.950609,223.8088944342198,939517,27320
Channel Square,1412 4th St SW, Washington,DC,20024,,2 wks,54,4.0,3544.0,Yes,38.87234,-77.017202,432.2720924946801,552652,7520
Waterside Towers,907 6th St SW, Washington,DC,20024,,New,11,4.0,2799.0,Contact Management,38.878814,-77.02108100000002,423.92005416215034,552652,7520
Lex at Waterfront Station,1151-1551 4th St SW, Washington,DC,20024,,New,38,2.0,2961.0,Contact Management,38.910878000000004,-77.015974,584.0638489899301,552652,7520
The View at Waterfront,1100 6th St SW, Washington,DC,20024,,7 hrs,17,2.0,2360.0,Contact Management,38.877102,-77.019318,186.03638700774133,552652,7520
Capitol Park Tower,301 G St SW, Washington,DC,20024,,1 wk,27,2.0,2596.0,Contact Management,38.881674,-77.01680400000002,374.1942598793344,552652,7520
The Lansburgh,425 8th St NW, Washington,DC,20004,,2 wks,46,2.0,5000.0,Yes,38.895839,-77.02271999999998,227.6711126291471,160722,1010
Monroe Street Market,625 Monroe St NE, Washington,DC,20017,,New,69,2.0,6720.0,Contact Management,38.932057,-76.99704100000002,252.54144589707732,588455,9810
Kew Gardens,2700 Q St NW, Washington,DC,20007,,6 hrs,48,2.0,2499.0,Contact Management,38.910278999999996,-77.055779,1055.6221322609147,2934290,12640
Park Crest,2324 41st St NW, Washington,DC,20007,,6 hrs,28,2.0,2300.0,Contact Management,38.921457000000004,-77.081014,2460.7111861969915,2934290,12640
Skyline Towers Apartments,2730 Wisconsin Ave NW, Washington,DC,20007,,5 days,36,2.0,2500.0,Contact Management,38.925986,-77.073576,1643.9251151655496,2934290,12640
Bainbridge Bethesda,4918 Saint Elmo Ave, Bethesda,MD,20814,,37 min,53,2.0,4235.0,Yes,38.988284,-77.097437,515.2956542948489,2569860,14590
Flats 8300,8300 Wisconsin Ave, Bethesda,MD,20814,,57 min,32,3.0,7816.0,Yes,38.986866,-77.094725,288.4491732951257,2569860,14590
Rosedale Park Apartments,4720 Rosedale Ave, Bethesda,MD,20814,,2 hrs,42,2.0,2480.0,No,38.992345,-77.09564300000002,856.6779908975087,2569860,14590
Palisades of Bethesda,4835-4835 Cordell Ave, Bethesda,MD,20814,,New,120,3.0,7700.0,No,38.990522,-77.09734300000002,738.0932503947354,2569860,14590
Element 28,100 Commerce Ln, Bethesda,MD,20814,,6 hrs,5,3.0,8404.0,Yes,38.985815,-77.094543,170.7364777413497,2569860,14590
Triangle Towers,4853 Cordell Ave, Bethesda,MD,20814,,6 hrs,78,2.0,2836.0,Yes,38.990175,-77.097383,703.1916852458925,2569860,14590
The Seasons,4710 Bethesda Ave, Bethesda,MD,20814,,7 hrs,58,1.0,2250.0,No,38.98076,-77.093835,395.00226856429975,2569860,14590
Solaire Bethesda on Woodmont,7077 Woodmont Ave, Bethesda,MD,20814,,7 hrs,13,3.0,6460.0,Yes,38.986382,-77.09671,305.4958161953034,2569860,14590
7001 Arlington at Bethesda,7001 Arlington Rd, Bethesda,MD,20814,,New,48,2.0,4005.0,Yes,38.97942000000001,-77.09814200000002,628.627133429025,2569860,14590
The Whitney,7707 Wisconsin Ave, Bethesda,MD,20814,,New,65,4.0,7186.0,Contact Management,38.986835,-77.094593,284.2257538904322,2569860,14590
Flats at Bethesda Avenue,Bethesda Ave, Bethesda,MD,20814,,New,20,3.0,5855.0,Contact Management,38.981076,-77.095001,359.87937510680644,2569860,14590
Bethesda Hill,5114 Dudley Ln, Bethesda,MD,20814,,1 hr,23,3.0,2963.0,Contact Management,39.015026,-77.101293,1590.670938666832,2569860,14590
Edgemont at Bethesda Metro,4903 Edgemoor Ln, Bethesda,MD,20814,,1 hr,37,2.0,2615.0,Contact Management,38.985151,-77.097758,303.36440467203084,2569860,14590
